country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/15/2020,-2,-2,-8,1,5,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/16/2020,-3,-3,-7,-4,2,2
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/17/2020,-3,-4,-7,-1,3,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/18/2020,-3,-2,-4,1,2,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/19/2020,-3,-4,-3,0,1,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/20/2020,-2,-1,-1,4,1,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/21/2020,-2,-3,-5,2,5,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/22/2020,0,0,-5,1,5,0
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/23/2020,-2,-1,-5,-4,3,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/24/2020,-2,-3,-4,-1,4,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/25/2020,-5,-2,-6,-6,-2,3
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/26/2020,-2,-1,-3,0,3,0
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/27/2020,0,2,-3,2,4,0
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/28/2020,1,3,-5,3,5,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2/29/2020,2,6,-7,4,6,0
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/1/2020,1,5,-8,0,3,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/2/2020,5,12,0,3,5,0
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/3/2020,3,10,-2,2,5,0
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/4/2020,0,4,-5,-1,4,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/5/2020,4,8,-1,3,4,0
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/6/2020,2,4,-3,3,6,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/7/2020,3,6,-4,3,6,0
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/8/2020,1,4,-4,-1,4,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/9/2020,2,3,-1,1,5,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/10/2020,3,6,2,1,4,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/11/2020,3,5,2,1,4,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/12/2020,2,3,0,1,4,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/13/2020,2,3,-2,1,6,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/14/2020,-2,3,-6,-5,5,1
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/15/2020,-7,3,-12,-12,4,3
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/16/2020,-7,2,-8,-12,-8,5
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/17/2020,-9,1,-10,-16,-13,6
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/18/2020,-11,0,-12,-21,-16,8
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/19/2020,-16,-5,-17,-26,-17,9
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/20/2020,-19,-7,-21,-31,-18,10
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/21/2020,-23,-5,-30,-33,-11,9
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/22/2020,-32,-15,-39,-42,-7,10
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/23/2020,-27,-12,-25,-41,-27,13
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/24/2020,-29,-11,-26,-42,-31,13
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/25/2020,-38,-20,-31,-52,-59,21
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/26/2020,-34,-17,-30,-46,-34,15
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/27/2020,-36,-17,-34,-49,-33,16
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/28/2020,-42,-20,-46,-50,-23,15
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/29/2020,-47,-27,-52,-54,-15,15
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/30/2020,-36,-20,-32,-51,-34,16
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,3/31/2020,-35,-16,-32,-49,-35,15
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/1/2020,-31,-10,-28,-49,-35,15
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/2/2020,-33,-13,-29,-50,-35,16
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/3/2020,-35,-17,-34,-53,-34,17
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/4/2020,-40,-20,-45,-54,-25,15
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/5/2020,-43,-24,-50,-58,-17,14
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/6/2020,-34,-20,-31,-54,-34,16
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/7/2020,-33,-16,-30,-51,-35,15
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/8/2020,-34,-17,-30,-52,-36,15
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/9/2020,-31,-13,-28,-50,-35,15
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/10/2020,-43,-28,-37,-64,-60,24
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/11/2020,-43,-24,-46,-59,-30,17
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/12/2020,-46,-27,-50,-61,-17,15
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/13/2020,-33,-19,-29,-56,-35,17
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/14/2020,-34,-19,-29,-54,-36,16
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/15/2020,-35,-19,-29,-55,-36,17
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/16/2020,-34,-18,-29,-56,-36,17
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/17/2020,-38,-23,-35,-58,-35,18
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/18/2020,-43,-25,-46,-58,-24,15
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/19/2020,-45,-26,-49,-60,-14,14
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/20/2020,-34,-19,-29,-56,-34,16
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/21/2020,-35,-19,-31,-55,-36,16
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/22/2020,-34,-16,-28,-53,-36,15
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/23/2020,-32,-10,-28,-50,-37,15
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/24/2020,-49,-30,-45,-64,-43,22
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/25/2020,-50,-29,-53,-64,-30,19
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/26/2020,-53,-34,-58,-68,-18,18
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/27/2020,-43,-28,-38,-62,-36,19
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/28/2020,-43,-26,-38,-61,-38,18
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/29/2020,-42,-24,-36,-60,-37,18
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,4/30/2020,-40,-19,-35,-58,-36,18
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/1/2020,-44,-23,-42,-67,-59,25
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/2/2020,-46,-24,-50,-62,-28,18
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/3/2020,-48,-28,-55,-65,-14,17
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/4/2020,-38,-21,-34,-60,-35,18
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/5/2020,-39,-19,-34,-58,-36,18
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/6/2020,-38,-18,-33,-58,-36,18
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/7/2020,-44,-18,-37,-62,-58,24
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/8/2020,-44,-19,-41,-59,-35,19
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/9/2020,-48,-22,-52,-59,-26,17
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/10/2020,-48,-23,-54,-62,-12,16
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/11/2020,-39,-16,-36,-56,-34,18
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/12/2020,-38,-13,-33,-54,-35,18
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/13/2020,-37,-12,-32,-54,-34,17
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/14/2020,-36,-10,-32,-53,-34,17
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/15/2020,-36,-9,-34,-54,-32,16
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/16/2020,-37,-8,-43,-53,-22,15
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/17/2020,-40,-13,-50,-57,-8,15
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/18/2020,-33,-10,-32,-54,-33,17
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/19/2020,-29,1,-27,-48,-34,16
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/20/2020,-26,3,-24,-47,-34,16
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/21/2020,-24,12,-21,-47,-57,20
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/22/2020,-27,7,-26,-49,-46,19
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/23/2020,-35,6,-36,-49,-39,16
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/24/2020,-51,-30,-45,-59,-24,8
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/25/2020,-40,-17,-16,-59,-70,19
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/26/2020,-36,-12,-20,-54,-48,16
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/27/2020,-32,-8,-20,-53,-42,16
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/28/2020,-32,-8,-23,-52,-38,16
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/29/2020,-33,-11,-30,-55,-35,17
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/30/2020,-37,-11,-37,-53,-23,14
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,5/31/2020,-37,-13,-38,-54,-5,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/1/2020,-28,-7,-17,-54,-56,20
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/2/2020,-27,-4,-22,-46,-28,13
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/3/2020,-27,-4,-21,-47,-29,14
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/4/2020,-27,-5,-22,-47,-28,14
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/5/2020,-30,-9,-29,-50,-26,15
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/6/2020,-31,-8,-34,-48,-16,13
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/7/2020,-32,-10,-33,-50,-3,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/8/2020,-24,-6,-22,-46,-24,13
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/9/2020,-26,-7,-22,-44,-25,13
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/10/2020,-24,-4,-19,-43,-25,13
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/11/2020,-23,-5,-20,-44,-25,14
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/12/2020,-26,-9,-26,-46,-23,14
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/13/2020,-28,-8,-30,-44,-14,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/14/2020,-29,-10,-27,-46,-1,10
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/15/2020,-21,-6,-21,-42,-23,13
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/16/2020,-22,-5,-19,-40,-24,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/17/2020,-22,-5,-19,-40,-24,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/18/2020,-22,-7,-21,-41,-24,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/19/2020,-24,-10,-26,-43,-23,13
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/20/2020,-25,-7,-28,-41,-13,10
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/21/2020,-28,-11,-26,-43,-1,10
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/22/2020,-21,-8,-20,-41,-25,13
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/23/2020,-22,-7,-19,-39,-26,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/24/2020,-22,-7,-18,-39,-25,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/25/2020,-21,-4,-18,-39,-25,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/26/2020,-23,-7,-24,-40,-23,13
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/27/2020,-23,-5,-24,-37,-14,10
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/28/2020,-26,-8,-21,-40,-1,9
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/29/2020,-19,-5,-16,-39,-24,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,6/30/2020,-17,0,-16,-37,-24,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/1/2020,-16,2,-14,-36,-24,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/2/2020,-17,-1,-16,-36,-25,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/3/2020,-18,-2,-19,-37,-23,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/4/2020,-18,-1,-18,-34,-15,9
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/5/2020,-20,-2,-14,-35,-2,8
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/6/2020,-18,-4,-18,-37,-25,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/7/2020,-14,1,-13,-33,-25,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/8/2020,-16,-2,-14,-34,-24,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/9/2020,-16,-1,-15,-34,-24,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/10/2020,-18,-4,-19,-36,-22,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/11/2020,-19,-2,-19,-33,-12,9
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/12/2020,-20,-4,-16,-36,-1,9
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/13/2020,-16,-4,-17,-37,-22,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/14/2020,-18,-5,-18,-36,-23,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/15/2020,-17,-4,-17,-36,-22,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/16/2020,-17,-3,-17,-35,-22,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/17/2020,-19,-6,-21,-38,-21,13
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/18/2020,-19,-4,-21,-36,-11,10
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/19/2020,-21,-6,-18,-38,0,9
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/20/2020,-16,-4,-17,-37,-22,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/21/2020,-18,-6,-18,-36,-23,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/22/2020,-18,-6,-17,-37,-22,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/23/2020,-19,-5,-18,-37,-22,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/24/2020,-19,-6,-19,-37,-20,13
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/25/2020,-18,-2,-20,-33,-12,10
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/26/2020,-21,-5,-18,-37,0,10
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/27/2020,-16,-3,-15,-36,-22,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/28/2020,-16,-1,-15,-33,-23,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/29/2020,-14,3,-12,-30,-24,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/30/2020,-7,18,-2,-20,-26,9
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,7/31/2020,-29,-13,-2,-45,-62,18
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/1/2020,-22,-2,-8,-37,-26,10
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/2/2020,-20,-1,-8,-29,-5,7
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/3/2020,-13,2,-6,-31,-24,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/4/2020,-14,2,-9,-31,-24,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/5/2020,-13,2,-8,-32,-24,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/6/2020,-13,3,-8,-32,-24,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/7/2020,-15,-1,-11,-33,-21,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/8/2020,-15,1,-12,-29,-12,8
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/9/2020,-17,-2,-10,-32,-1,7
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/10/2020,-11,2,-6,-32,-22,10
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/11/2020,-15,-2,-12,-32,-23,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/12/2020,-12,1,-7,-32,-23,10
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/13/2020,-15,-2,-9,-33,-23,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/14/2020,-14,-1,-12,-31,-21,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/15/2020,-14,2,-11,-24,-12,7
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/16/2020,-15,0,0,-30,-1,7
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/17/2020,-11,-2,32,-37,-57,16
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/18/2020,-14,0,-5,-31,-22,10
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/19/2020,-11,4,0,-28,-22,9
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/20/2020,-12,1,18,-33,-53,16
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/21/2020,-15,-3,0,-38,-37,14
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/22/2020,-18,-5,-6,-33,-13,9
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/23/2020,-21,-7,-9,-32,1,8
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/24/2020,-14,-3,-8,-33,-20,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/25/2020,-14,0,-8,-32,-21,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/26/2020,-14,0,-7,-33,-21,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/27/2020,-13,2,-7,-32,-21,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/28/2020,-15,0,-12,-33,-19,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/29/2020,-15,1,-12,-30,-9,9
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/30/2020,-15,1,-5,-32,2,7
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,8/31/2020,-12,2,-7,-33,-20,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,9/1/2020,-11,6,-7,-31,-21,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,9/2/2020,-12,3,-7,-32,-22,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,9/3/2020,-13,2,-10,-32,-22,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,9/4/2020,-13,1,-11,-33,-20,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,9/5/2020,-13,3,-9,-30,-12,9
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,9/6/2020,-14,2,-2,-32,-1,8
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,9/7/2020,-11,2,-6,-33,-22,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,9/8/2020,-12,2,-6,-32,-23,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,9/9/2020,-13,1,-6,-33,-22,11
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,9/10/2020,-13,1,-7,-32,-22,10
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,9/11/2020,-14,-3,-10,-33,-21,10
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,9/12/2020,-14,-1,-9,-30,-12,8
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,9/13/2020,-17,-4,-7,-33,-2,8
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,9/14/2020,-16,-5,-10,-41,-22,12
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,9/15/2020,-17,-5,-10,-40,-23,13
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,9/16/2020,-15,-2,-5,-39,-23,13
